512&    1&  1&  4.742250e-01&   6.249888e-02&   -&  -    \\
512&    4&  12& 1.085990e-01&   6.249735e-02&   4.366753e+00&   1.091688e+00 \\
512&    8&  4&  2.005280e-01&   6.249735e-02&   2.364882e+00&   2.956102e-01 \\
512&    16& 8&  7.256050e-01&   6.249888e-02&   6.535581e-01&   4.084738e-02 \\
512&    36& 18& 5.074341e+00&   6.249888e-02&   9.345549e-02&   2.595986e-03 \\ \hline
1024&   1&  1&  1.911259e+00&   6.249972e-02&   -&  -    \\
1024&   2&  8&  2.153310e-01&   6.249800e-02&   8.875912e+00&   4.437956e+00 \\
1024&   4&  16& 2.678350e-01&   6.249781e-02&   7.135957e+00&   1.783989e+00 \\
1024&   16& 3&  5.715570e-01&   6.249972e-02&   3.343952e+00&   2.089970e-01 \\
1024&   16& 8&  7.882380e-01&   6.249972e-02&   2.424723e+00&   1.515452e-01 \\
1024&   36& 18& 4.950787e+00&   6.249972e-02&   3.860516e-01&   1.072365e-02 \\ \hline
2048&   1&  1&  8.084189e+00&   6.249993e-02&   -&  -    \\
2048&   2&  36& 7.216190e-01&   6.249981e-02&   1.120285e+01&   5.601425e+00 \\
2048&   3&  16& 1.002780e+00&   6.249991e-02&   8.061777e+00&   2.687259e+00 \\
2048&   16& 4&  1.145253e+00&   6.249993e-02&   7.058867e+00&   4.411792e-01 \\
2048&   4&  2&  1.347390e+00&   6.249993e-02&   5.999888e+00&   1.499972e+00 \\
2048&   36& 18& 7.040044e+00&   6.249993e-02&   1.148315e+00&   3.189764e-02 \\ \hline
4096&   1&  1&  3.439144e+01&   6.249998e-02&   -&  -     \\
4096&   4&  16& 2.649360e+00&   6.249995e-02&   1.298104e+01&   3.245259e+00 \\
4096&   12& 36& 2.726301e+00&   6.249998e-02&   1.261469e+01&   1.051224e+00 \\
4096&   18& 8&  3.152753e+00&   6.249998e-02&   1.090838e+01&   6.060213e-01 \\
4096&   2&  3&  6.361214e+00&   6.249994e-02&   5.406427e+00&   2.703214e+00 \\
4096&   36& 18& 9.399781e+00&   6.249998e-02&   3.658749e+00&   1.016319e-01 \\ \hline
8192&   1&  1&  1.457998e+02&   6.250000e-02&   -&  -     \\
8192&   8&  12& 9.800463e+00&   6.249999e-02&   1.487683e+01&   1.859604e+00 \\
8192&   8&  16& 9.939969e+00&   6.249999e-02&   1.466804e+01&   1.833504e+00 \\
8192&   12& 36& 1.009025e+01&   6.249997e-02&   1.444958e+01&   1.204131e+00 \\
8192&   18& 8&  1.042021e+01&   6.250000e-02&   1.399202e+01&   7.773345e-01 \\
8192&   36& 4&  1.565453e+01&   6.250000e-02&   9.313585e+00&   2.587107e-01 \\
8192&   36& 18& 1.711667e+01&   6.249999e-02&   8.518000e+00&   2.366111e-01 \\
8192&   4&  2&  2.051611e+01&   6.250000e-02&   7.106603e+00&   1.776651e+00 \\
8192&   4&  1&  3.711160e+01&   6.250000e-02&   3.928686e+00&   9.821716e-01 \\ \hline
16384&  1&  1&  6.174798e+02&   6.250000e-02&   -&  -     \\
16384&  8&  12& 4.076668e+01&   6.250000e-02&   1.514668e+01&   1.893335e+00 \\
16384&  16& 6&  4.088034e+01&   6.250000e-02&   1.510457e+01&   9.440354e-01 \\
16384&  8&  16& 4.126072e+01&   6.250000e-02&   1.496532e+01&   1.870665e+00 \\
16384&  6&  36& 4.144498e+01&   6.249999e-02&   1.489879e+01&   2.483131e+00 \\
16384&  12& 2&  4.310132e+01&   6.250000e-02&   1.432624e+01&   1.193853e+00 \\
16384&  36& 4&  4.914745e+01&   6.250000e-02&   1.256382e+01&   3.489950e-01 \\
16384&  4&  4&  5.177619e+01&   6.250000e-02&   1.192594e+01&   2.981485e+00 \\
16384&  2&  3&  1.125774e+02&   6.250000e-02&   5.484935e+00&   2.742467e+00 \\
